opcode,client,nobs,intercept,intercept_pvalue,rsquared,rsquared_adj,slope,slope_pvalue,slope_conf_int_low,slope_conf_int_high,msg_size,msg_size_pvalue,msg_size_conf_int_low,msg_size_conf_int_high,num_rounds,num_rounds_pvalue,num_rounds_conf_int_low,num_rounds_conf_int_high,num_pairs,num_pairs_pvalue,num_pairs_conf_int_low,num_pairs_conf_int_high
MULMOD,reth,320,31.423090624999958,0.0,0.9894206751599587,0.9893874068428516,4.122486252462118e-05,0.0,4.0748305760621686e-05,4.168609321750316e-05,,,,,,,,,,,,
MULMOD,nethermind,430,28.636850821705355,0.0,0.9862091175314344,0.9861768958434237,6.510595747098898e-05,0.0,6.432420285828571e-05,6.585247961500654e-05,,,,,,,,,,,,
MULMOD,geth,430,31.03777493023244,0.0,0.9901686172714429,0.9901456467510491,6.966007098097254e-05,0.0,6.897117566808324e-05,7.030233137745958e-05,,,,,,,,,,,,
MULMOD,besu,430,40.8900929457363,0.005,0.980303802396174,0.980257783242894,0.00017793452355367628,0.0,0.00017523047619730594,0.0001804219261547354,,,,,,,,,,,,
MULMOD,erigon,30,27.708088666666782,0.0,0.9996893325835903,0.9996782373187185,7.370001731313129e-05,0.0,7.315269920917222e-05,7.426346436921999e-05,,,,,,,,,,,,
ADDMOD,reth,320,32.29434126666661,0.0,0.9911528217458792,0.9911250004306146,2.814932336082251e-05,0.0,2.7850242062900773e-05,2.8433336765220406e-05,,,,,,,,,,,,
ADDMOD,nethermind,430,26.224405255814,0.0,0.9860143645299028,0.9859816878115147,3.3711856525521e-05,0.0,3.325485811535976e-05,3.421840213865916e-05,,,,,,,,,,,,
ADDMOD,geth,430,32.576627875968995,0.0,0.9894570907966578,0.9894324578312295,5.5266081566092804e-05,0.0,5.473102371079995e-05,5.583263847636066e-05,,,,,,,,,,,,
ADDMOD,besu,430,35.68488900775208,0.006,0.9795099179917237,0.9794620439683399,0.00012471714533574953,0.0,0.0001228064556525961,0.00012672159826257454,,,,,,,,,,,,
ADDMOD,erigon,30,29.492009333333307,0.0,0.9995020129517043,0.9994842276999795,5.9692733714285716e-05,0.0,5.9212480480426735e-05,6.0174688312895874e-05,,,,,,,,,,,,
SMOD,reth,320,31.819448695833337,0.0,0.9861203727648584,0.9860767261383329,1.3086917319570711e-05,0.0,1.2902657867020082e-05,1.326973608543253e-05,,,,,,,,,,,,
SMOD,nethermind,430,30.320751127131786,0.0,0.9850756366555614,0.9850407666477473,1.5910646695325347e-05,0.0,1.5718179095593672e-05,1.608970642201713e-05,,,,,,,,,,,,
SMOD,geth,430,33.37296566201554,0.0,0.9580737110725466,0.9579757524535572,3.013052465853887e-05,0.0,2.9621985181266935e-05,3.0672457525053685e-05,,,,,,,,,,,,
SMOD,besu,430,30.391704341085305,0.0,0.9841466666452713,0.9841096261467789,4.090527773972282e-05,0.0,4.036244548817165e-05,4.1418603854915285e-05,,,,,,,,,,,,
SMOD,erigon,30,22.293829555555575,0.011,0.9926493176605374,0.9923867932912709,3.3039505562289556e-05,0.0,3.221869734439634e-05,3.456664010582857e-05,,,,,,,,,,,,
MOD,reth,320,34.66630935416656,0.0,0.9908524025882003,0.9908236365586034,3.7513527228535384e-05,0.0,3.706191720022648e-05,3.79219698367083e-05,,,,,,,,,,,,
MOD,nethermind,430,30.14136778294575,0.0,0.9900332163633593,0.9900099294857035,4.644788457693211e-05,0.0,4.595313093772443e-05,4.692387577185582e-05,,,,,,,,,,,,
MOD,geth,430,33.665542387596886,0.0,0.9849275914718948,0.9848923755641188,5.34000376706601e-05,0.0,5.285540398476975e-05,5.3940058684234286e-05,,,,,,,,,,,,
MOD,besu,430,42.79353779844965,0.013,0.9769436046187839,0.9768897345361175,0.000194755969172187,0.0,0.0001915464987396905,0.0001977872489062584,,,,,,,,,,,,
MOD,erigon,30,39.07323755555561,0.0,0.9960684519133965,0.9959280394817321,5.574532649158248e-05,0.0,5.4502540829687296e-05,5.716714003347427e-05,,,,,,,,,,,,
SMOD,reth,320,31.819448695833337,0.0,0.9861203727648584,0.9860767261383329,1.3086917319570711e-05,0.0,1.2902657867020082e-05,1.326973608543253e-05,,,,,,,,,,,,
SMOD,nethermind,430,30.320751127131786,0.0,0.9850756366555614,0.9850407666477473,1.5910646695325347e-05,0.0,1.5718179095593672e-05,1.608970642201713e-05,,,,,,,,,,,,
SMOD,geth,430,33.37296566201554,0.0,0.9580737110725466,0.9579757524535572,3.013052465853887e-05,0.0,2.9621985181266935e-05,3.0672457525053685e-05,,,,,,,,,,,,
SMOD,besu,430,30.391704341085305,0.0,0.9841466666452713,0.9841096261467789,4.090527773972282e-05,0.0,4.036244548817165e-05,4.1418603854915285e-05,,,,,,,,,,,,
SMOD,erigon,30,22.293829555555575,0.011,0.9926493176605374,0.9923867932912709,3.3039505562289556e-05,0.0,3.221869734439634e-05,3.456664010582857e-05,,,,,,,,,,,,
DIV,reth,320,33.64857891666671,0.0,0.9909211817931688,0.99089263205038,5.3284223116792904e-05,0.0,5.266384025095325e-05,5.382882490268293e-05,,,,,,,,,,,,
DIV,nethermind,430,30.859565007751897,0.0,0.9857455515143962,0.9857122467282149,6.247302395019968e-05,0.0,6.172595390895508e-05,6.32222287215741e-05,,,,,,,,,,,,
DIV,geth,430,31.401508279069773,0.0,0.9863643396266851,0.9863324806071213,6.957366549119096e-05,0.0,6.869860981189343e-05,7.044870857860539e-05,,,,,,,,,,,,
DIV,besu,430,41.34576948837189,0.06,0.9686577344807007,0.9685845048883659,0.0002434483814503171,0.0,0.00023906621427239192,0.00024769335459256397,,,,,,,,,,,,
DIV,erigon,30,33.72444222222221,0.0,0.9997566597706002,0.9997479690481217,7.04885611178451e-05,0.0,6.99556151312451e-05,7.105241219042128e-05,,,,,,,,,,,,
SDIV,reth,320,31.42567074999999,0.0,0.9904503179977452,0.9904202875511973,6.755685860227272e-05,0.0,6.672041824956456e-05,6.825212565955567e-05,,,,,,,,,,,,
SDIV,nethermind,430,28.34991314728685,0.0,0.9773001488218217,0.9772471117863587,8.233433567958656e-05,0.0,8.108361016787985e-05,8.365644163425102e-05,,,,,,,,,,,,
SDIV,geth,430,28.02474175193805,0.0,0.9884664787363705,0.9884395312567826,7.36352066154569e-05,0.0,7.279176631504983e-05,7.451149675695213e-05,,,,,,,,,,,,
SDIV,besu,430,26.420895379844982,0.233,0.9710473787133476,0.9709797324019301,0.0003246742428832511,0.0,0.00031921418799246763,0.00032930689893897254,,,,,,,,,,,,
SDIV,erigon,30,32.077143555555594,0.0,0.9993009160243147,0.9992759487394688,7.479461905723907e-05,0.0,7.408303052200749e-05,7.538696414246743e-05,,,,,,,,,,,,
POINT_EVALUATION,reth,320,33.9425185416666,0.126,0.9927673041274611,0.9927445598008179,1.4860655208333338,0.0,1.4701464875663408,1.4985006937833971,,,,,,,,,,,,
POINT_EVALUATION,nethermind,430,13.132227751937908,0.327,0.9917145020988996,0.9916951434589437,1.4893738461592667,0.0,1.4750492981700547,1.4982486249707763,,,,,,,,,,,,
POINT_EVALUATION,geth,430,40.4320114728685,0.06,0.9917679279193095,0.9917486941060368,1.483455985017618,0.0,1.4683491831275108,1.496230796039117,,,,,,,,,,,,
POINT_EVALUATION,besu,430,28.545270542635787,0.177,0.9907747927303031,0.9907532385077104,1.48434345875969,0.0,1.4710449569239366,1.4964371286276292,,,,,,,,,,,,
BLS12_G1ADD,reth,320,32.847420437500006,0.0,0.9902563486003567,0.9902257081871503,0.00513250435625,0.0,0.005069931901004708,0.00519612154204939,,,,,,,,,,,,
BLS12_G1ADD,nethermind,430,13.589923922480672,0.067,0.9861882456897169,0.9861559752357208,0.005907255843579987,0.0,0.0058326565308859,0.005976908178825287,,,,,,,,,,,,
BLS12_G1ADD,geth,430,33.33663088372099,0.0,0.991830825675212,0.991811738819313,0.005131998439154335,0.0,0.005083436608685161,0.005180975775789839,,,,,,,,,,,,
BLS12_G1ADD,besu,430,4.770696325581511,0.398,0.9434045072607494,0.9432722748010782,0.010703523988921777,0.0,0.010426351119068276,0.010870905329479283,,,,,,,,,,,,
BLS12_G2ADD,reth,320,34.28015833333325,0.0,0.9912670591564378,0.9912395970783133,0.007421544872790405,0.0,0.007339226213142256,0.007503973011991588,,,,,,,,,,,,
BLS12_G2ADD,nethermind,430,0.0,1.0,0.9900014054243527,0.9899780442220731,0.009215041029759386,0.0,0.00914182251589754,0.00926469800532621,,,,,,,,,,,,
BLS12_G2ADD,geth,430,29.61025347286822,0.0,0.9924916435835922,0.9924741006947688,0.007010508594456187,0.0,0.00694731271588996,0.0070716359871408644,,,,,,,,,,,,
BLS12_G2ADD,besu,430,1.9379798914730093,0.482,0.9581753604825107,0.9580776393621427,0.012738499393046748,0.0,0.012475892040419476,0.01289323601058791,,,,,,,,,,,,
ECADD,reth,320,29.711189520833507,0.001,0.9908791764201741,0.9908504945850174,0.003786251919450756,0.0,0.0037459085335001903,0.003826395687427454,,,,,,,,,,,,
ECADD,nethermind,430,14.86970072868207,0.005,0.9855185819907654,0.9854847469019588,0.0024344991174066236,0.0,0.0024048793278847063,0.0024630282358163147,,,,,,,,,,,,
ECADD,geth,430,21.607353007751957,0.0,0.9894360489618723,0.9894113668332786,0.0029140286722903444,0.0,0.0028833456604086243,0.0029435519533771944,,,,,,,,,,,,
ECADD,besu,430,25.9623953953487,0.034,0.9817963348724944,0.9817538029446264,0.005222261672515854,0.0,0.005153233125860593,0.00528977066678259,,,,,,,,,,,,
ECRECOVER,reth,320,40.53417697916665,0.0,0.9903510341177844,0.9903206914577773,0.04692456314251895,0.0,0.04631104663293556,0.04749561050980118,,,,,,,,,,,,
ECRECOVER,nethermind,430,30.1649975658913,0.0,0.9908541549935016,0.9908327861967574,0.04455236988090207,0.0,0.04407294693164431,0.044969468618315224,,,,,,,,,,,,
ECRECOVER,geth,430,36.60275906976727,0.0,0.9927274829431264,0.992710491080844,0.048045974127907,0.0,0.04766205286299438,0.04842772396910883,,,,,,,,,,,,
ECRECOVER,besu,430,29.797417271317602,0.001,0.9853199215351147,0.985285622286365,0.048397043633897144,0.0,0.047773131188988925,0.049003321893589726,,,,,,,,,,,,
KECCAK256,reth,5120,30.87306356319042,0.0,0.9931860569665052,0.9931833937095056,1.098659215633366e-05,0.0,9.954135791653597e-06,1.1967288359819412e-05,2.5712728154737743e-06,0.0,2.5626850032475305e-06,2.5798361877318915e-06,,,,,,,,
KECCAK256,nethermind,6880,27.112380596341534,0.0,0.9847075180058421,0.9847030705776048,1.4441760096771556e-05,0.0,1.2477631222078253e-05,1.6473973517307955e-05,2.833406778115701e-06,0.0,2.8251143319618066e-06,2.8420075815774795e-06,,,,,,,,
KECCAK256,geth,6880,7.813496241674474,0.044,0.9252553554119326,0.9252336178389827,0.00046782462431086465,0.0,0.00046399991627014677,0.00047172000988029126,2.660530301578625e-06,0.0,2.6307219022483332e-06,2.691016652909138e-06,,,,,,,,
KECCAK256,besu,6880,5.820663383024085,0.096,0.955450575453494,0.9554376193899353,0.0007356329691706567,0.0,0.0007317500574065529,0.0007388226205182268,3.4515188025474612e-06,0.0,3.419849500210039e-06,3.4820744116316885e-06,,,,,,,,
KECCAK256,erigon,480,11.253159608042122,0.175,0.947305562136213,0.9470846210969518,0.0004452015197011968,0.0,0.0004352797300376422,0.00045359323749093677,2.5566603775758763e-06,0.0,2.468480283117723e-06,2.6254455057835018e-06,,,,,,,,
BLAKE2F,reth,1280,14.830078390625024,0.001,0.9518678992737944,0.9517925161873008,0.0005979765246188082,0.0,0.0005821901674265121,0.0006124284384606425,,,,,1.9980478550919525e-05,0.0,1.9210445170213485e-05,2.0722293775012477e-05,,,,
BLAKE2F,nethermind,1720,0.0,1.0,0.9768839265534925,0.9768570004341606,0.0007222786554823394,0.0,0.0007164779054363293,0.0007278046393914294,,,,,1.083418877913573e-05,0.0,1.039044297152357e-05,1.1287223372455248e-05,,,,
BLAKE2F,geth,1720,17.671832500000026,0.0,0.9877271375003056,0.9877128417955884,0.0006903232381730753,0.0,0.0006846414374460524,0.0006959985887044932,,,,,1.3672637326148798e-05,0.0,1.3331211378277949e-05,1.4035116625147804e-05,,,,
BLAKE2F,besu,1720,62.55669810852718,0.0,0.9750627899112686,0.9750337424912467,0.0028181435118324084,0.0,0.0027906180833781294,0.0028451169717866515,,,,,1.7397641318964246e-05,0.0,1.5744675510330422e-05,1.889906305864347e-05,,,,
ECPAIRING,reth,1432,34.19441770384812,0.0,0.9880865497778097,0.9880698759496471,0.5784839861656413,0.0,0.5677662895180551,0.5895092714492595,,,,,,,,,0.46911673375650564,0.0,0.4658109731776257,0.4721315539253526
ECPAIRING,nethermind,1982,33.245229815523516,0.0,0.9904123445105542,0.9904026551164263,0.3005401602767019,0.0,0.29248130572593395,0.3092937167161786,,,,,,,,,0.5683721080387686,0.0,0.5651264721274881,0.5714317372491693
ECPAIRING,geth,1982,35.213454191502414,0.0,0.9891677898036279,0.9891568426483005,0.30131372035197446,0.0,0.297277065594647,0.3057771428890149,,,,,,,,,0.21471509537992065,0.0,0.21351067160305742,0.21590164985518204
ECPAIRING,besu,1982,31.354713133307573,0.0,0.986277114881501,0.9862632463770862,0.3030967743715635,0.0,0.29863127185092603,0.3076860805469614,,,,,,,,,0.2107332292025176,0.0,0.2093269749427371,0.21211015433530425
